scenario,year,population_millions,electricity_supply_twh,electricity_demand_twh,electricity_coverage_ratio,food_adequacy_pct,effective_renewable_water_km3,freshwater_withdrawal_km3,renewable_water_per_capita_m3,withdrawal_share_pct
Baseline,2026,117.72447199999999,123.12,124.108316943144,0.9920366582394574,129.7954340474323,479.0,94.0405594121165,4068.8226658599924,19.632684637185072
Baseline,2027,118.656413,125.93044857339105,127.1903302077201,0.9900945171518033,130.5105786791934,479.0,94.78501170389731,4036.865668609079,19.78810265217063
Baseline,2028,119.583981,128.72684490391512,130.28997882995662,0.9880026542326669,131.15353813760186,479.0,95.52597075965572,4005.553218704101,19.942791390324786
Baseline,2029,120.502129,131.50925925278656,133.40125170255618,0.9858172811302537,131.73159864004714,479.0,96.25940493928081,3975.03350334997,20.095909173127517
Baseline,2030,121.408895,134.27776152991368,136.52125852186654,0.9835666839271517,132.25131094868087,479.0,96.98374695965434,3945.3451907292297,20.247128801597984
Baseline,2031,122.301597,137.03242129565513,139.64615705692154,0.9812831529606574,132.71856460569904,479.0,97.69685438788996,3916.5473857221996,20.396003003734858
Baseline,2032,123.18033,139.7733077625679,142.7751459608163,0.978975064756213,133.13865467547413,479.0,98.39880311180427,3888.6078645835746,20.54254762250611
Baseline,2033,124.049028,142.5004897971461,145.91195460371915,0.9766197031912962,133.51634174987782,479.0,99.09273568582498,3861.376487367559,20.687418723554273
Baseline,2034,124.904114,145.21403592155139,149.05162657524926,0.9742532789351316,133.85590589679515,479.0,99.77579473395109,3834.9417377877558,20.830019777442814
Baseline,2035,125.740972,147.9140143153347,152.18771110531532,0.9719182530643149,134.16119516319046,479.0,100.44429290711345,3809.4186197319996,20.96958098269592
Baseline,2036,126.55822599999999,150.60049281714905,155.3174295502129,0.9696303451150091,134.4356691823774,479.0,101.09713103019962,3784.8191709008315,21.105872866429984
Baseline,2037,127.352596,153.27353892645434,158.4355523667822,0.9674188440459521,134.6824383796642,479.0,101.73168897648799,3761.211118146347,21.238348429329434
Baseline,2038,128.118527,155.93321980521307,161.53377301031534,0.9653289024286913,134.9042992206645,479.0,102.34352930575345,3738.725469424106,21.36608127468757
Baseline,2039,128.850041,158.57960227957804,164.6028869546781,0.9634071747674844,135.1037659017194,479.0,102.92787667728207,3717.499787213882,21.488074462898137
Baseline,2040,129.546659,161.2127528415712,167.64042454462972,0.9616579848176933,135.28309884155533,479.0,103.48434845671422,3697.509481892543,21.604248112048897
Baseline,2041,130.209802,163.83273765075438,170.64639269090134,0.9600714967793734,135.4443302970551,479.0,104.01407976602286,3678.678506860797,21.714839199587235
Baseline,2042,130.836996,166.43962253589163,173.61574129034832,0.9586666583276247,135.58928739342772,479.0,104.51509432669911,3661.044006238113,21.8194351412733
Baseline,2043,131.42739300000002,169.03347299660322,176.54546019091163,0.9574501253887517,135.7196128297617,479.0,104.98671474012716,3644.5978959652643,21.91789451777185
Baseline,2044,131.97966399999999,171.6143542050112,179.43184861798508,0.9564319574635965,135.83678349460445,479.0,105.4278793756932,3629.3470181891057,22.009995694299207
Baseline,2045,132.492032,174.1823310073772,182.2705222262876,0.9556253467641412,135.9421272025242,479.0,105.83716873181677,3615.3117494643,22.0954423239701
Baseline,2046,132.962,176.73746792573132,185.0559994165969,0.9550485716913238,136.03683774131977,479.0,106.2125881571491,3602.5330545569414,22.173817986878724
Baseline,2047,133.38528599999998,179.27982915949372,187.78014567354242,0.9547326130589621,136.1219884003964,479.0,106.55071710820796,3591.1007455500007,22.244408582089342
Baseline,2048,133.75942999999998,181.80947858708728,190.43716864664322,0.9546953458672522,136.19854413361668,479.0,106.84959048995212,3581.05593003798,22.306803860115263
Baseline,2049,134.089,184.32647976754288,193.031260181304,0.9549048148699585,136.2673724944591,479.0,107.1128573081329,3572.2542490435458,22.36176561756428
Baseline,2050,134.37343900000002,186.8308959420962,195.5594653633863,0.9553661623840566,136.32925346740495,479.0,107.3400726204991,3564.6925729124187,22.409200964613593
Baseline,2051,134.61261100000002,189.32279003577676,198.01943504077659,0.9560818613425042,136.3848883069661,479.0,107.53112778765002,3558.3590307151826,22.44908722080376
Baseline,2052,134.805056,191.80222465898893,200.406864751376,0.9570641449679783,136.43490748452018,479.0,107.68485653366695,3553.279188578802,22.481180904732142
Baseline,2053,134.952918,194.269262109085,202.72279454190058,0.958300039953976,136.47987783300897,479.0,107.80297152674837,3549.386016240123,22.50583956717085
Baseline,2054,135.064723,196.7239643719306,204.97810438651408,0.9597316013859746,136.52030897046654,479.0,107.89228349873216,3546.4478759564777,22.524485072804207
Baseline,2055,135.13913,199.166393123462,207.16909322130167,0.9613711679990266,136.55665907516996,479.0,107.95172123317515,3544.4952176323764,22.536893785631555
Infrastructure lag,2026,117.72447199999999,122.13504,124.60475021091659,0.9801796463879896,129.0166614431477,477.563,94.41672164976495,4056.6161978624123,19.77052695660362
Infrastructure lag,2027,118.656413,123.92362094492547,128.20988789466517,0.9665683589610404,128.94915011587554,476.130311,95.54480835771575,4012.680806388442,20.066945151432662
Infrastructure lag,2028,119.583981,125.66205027229812,131.8597208334586,0.9529980002840424,128.80691070407966,474.701920067,96.67687376903018,3969.611281522732,20.36580634756756
Infrastructure lag,2029,120.502129,127.35119371994944,135.5485124348317,0.93952483455823,128.5983806526152,473.27781430679903,97.80882098823355,3927.5473241373106,20.666259442457125
Infrastructure lag,2030,121.408895,128.99190407956578,139.27361464215983,0.9261761778136428,128.33109728529044,471.8579808638786,98.93900149219753,3886.5190302891615,20.967961866631946
Infrastructure lag,2031,122.301597,130.58502137827966,143.03135918816213,0.9129817553260545,128.01179353444482,470.442406921287,100.0651515659826,3846.576156493582,21.27043610307971
Infrastructure lag,2032,123.18033,132.13137305779753,146.8211435954286,0.8999478537089365,127.64648349128133,469.0310797005231,101.18725289387139,3807.6783825836733,21.573677581980192
Infrastructure lag,2033,124.049028,133.6317741510962,150.6470312782721,0.8870521577305719,127.24053885933391,467.6239864614215,102.30845370315889,3769.670701985843,21.878358823579983
Infrastructure lag,2034,124.904114,135.08702745672073,154.5041449975019,0.8743262354476308,126.79875727836232,466.22111450203727,103.42573382808845,3732.6321733649,22.183837370505127
Infrastructure lag,2035,125.740972,136.49792371071538,158.3859717241593,0.8618056398860655,126.32542338310978,464.8224511585312,104.53516135235186,3696.6665977302227,22.489266835499595
Infrastructure lag,2036,126.55822599999999,137.86524175621958,162.28972913547253,0.8495007200433218,125.82436336944257,463.42798380505553,105.63544644524397,3661.7768631258755,22.79436075005784
Infrastructure lag,2037,127.352596,139.18974871075966,166.21001780231177,0.8374329691505737,125.29899375824677,462.0376998536404,106.72368406743057,3628.0194857876345,23.098479648140707
Infrastructure lag,2038,128.118527,140.4722001312673,170.13810985091501,0.8256363036732762,124.75236497404825,460.65158675407946,107.79500971874576,3595.5111063217223,23.400551049505562
Infrastructure lag,2039,128.850041,141.71334017685476,174.0641875363558,0.8141441509745128,124.18720028971893,459.26963199381726,108.84412515563197,3564.373192506918,23.69939520780186
