scenario,population_2055_millions,electricity_coverage_2055_pct,first_electricity_below_90_year,food_adequacy_2055_pct,first_food_below_100_year,renewable_water_2055_m3_per_person,first_water_below_1700_year,freshwater_withdrawal_share_2055_pct
Baseline,135.13913,96.13711679990266,>2055,136.55665907516996,>2055,3544.4952176323764,>2055,22.536893785631555
Infrastructure lag,135.13913,67.02392756102755,2032,113.99988544596562,>2055,3238.9865461213976,>2055,27.800377474726893
Investment and efficiency,135.13913,155.06947468962278,>2055,153.93035369538376,>2055,3763.4490480631357,>2055,17.719601221431645
